GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-1497715896, , 45 1 32 39 18 48 41 20 13 37 10 47 21 2, 35 12 33 36 43 27 6 34 16 49 28 26 15 23, 0, 0
-1497715896, , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4, 35 12 33 36 43 27 6 34 16 49 28 26 15 23, 1, 1
-1497715896, 33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4, 12 43 27 6 16 28 26 15, 2, 0
-1497715896, 33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40, 12 43 27 6 16 28 26 15, 3, 1
-1497715896, 33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40, 12 43 27 6 16 28 26 15 3, 4, 0
-1497715896, 33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50, 12 43 27 6 16 28 26 15 3, 5, 1
-1497715896, 33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50, 12 43 27 6 16 28 26 15 3 53, 6, 0
-1497715896, 33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50 31, 12 43 27 6 16 28 26 15 3 53, 7, 1
-1497715896, 33 34 35 ;23 36 49 ;27 28 29 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50 31, 12 43 6 16 26 15 3, 8, 0
-1497715896, 33 34 35 ;23 36 49 ;27 28 29 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50 31 14, 12 43 6 16 26 15 3, 9, 1
-1497715896, 27 28 29 ;33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50 31 14, 12 43 6 16 26 15 3 44, 10, 0
-1497715896, 27 28 29 ;33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50 31 14 30, 12 43 6 16 26 15 3 44, 11, 1
-1497715896, 27 28 29 ;33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50 31 14 30, 12 43 6 16 26 15 3 44 7, 12, 0
-1497715896, 27 28 29 ;33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50 31 14 30 38, 12 43 6 16 26 15 3 44 7, 13, 1
-1497715896, 27 28 29 ;33 34 35 ;23 36 49 , 45 1 32 39 18 48 41 20 13 37 10 47 21 2 4 40 50 31 14 30 38, 12 43 6 16 26 15 3 44 7 29, 14, 0
-1497715896, 30 31 32 ;37 38 39 ;1 14 40 ;27 28 29 ;33 34 35 ;23 36 49 , 45 18 48 41 20 13 10 47 21 2 4 50, 12 43 6 16 26 15 3 44 7 29, 15, 1
-1497715896, 14 15 16 ;33 34 35 ;37 38 39 ;28 29 30 31 32 ;1 27 40 ;23 36 49 , 45 18 48 41 20 13 10 47 21 2 4 50, 12 43 6 26 3 44 7 29, 16, 0
-1497715896, 14 15 16 ;33 34 35 ;37 38 39 ;29 30 31 32 ;47 48 49 50 ;1 27 40 ;2 28 41 ;10 23 36 , 45 18 20 13 21 4, 12 43 6 26 3 44 7 29, 17, 1
-1497715896, 30 31 32 ;33 34 35 ;37 38 39 ;47 48 49 50 ;1 14 27 40 ;2 15 28 41 ;3 16 29 ;10 23 36 , 45 18 20 13 21 4, 12 43 6 26 44 7 29, 18, 0
-1497715896, 30 31 32 ;33 34 35 ;37 38 39 ;47 48 49 50 ;1 14 27 40 ;2 15 28 41 ;3 16 29 ;10 23 36 , 45 18 20 13 21 4 9, 12 43 6 26 44 7 29, 19, 1
-1497715896, 30 31 32 ;33 34 35 ;37 38 39 ;47 48 49 50 ;1 14 27 40 ;2 15 28 41 ;3 16 29 ;10 23 36 , 45 18 20 13 21 4 9, 12 43 6 26 44 7 29 17, 20, 0
-1497715896, 30 31 32 ;33 34 35 ;37 38 39 ;47 48 49 50 ;1 14 27 40 ;2 15 28 41 ;3 16 29 ;10 23 36 , 45 18 20 13 21 4 9 46, 12 43 6 26 44 7 29 17, 21, 1
