GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-361048791, , 31 13 50 37 4 40 53 35 24 49 23 10 46 22, 1 44 21 45 29 16 11 27 15 47 28 8 36 18, 0, 0
-361048791, 102349 243750 223553, 31 13 4 40 46, 1 44 21 45 29 16 11 27 15 47 28 8 36 18, 1, 1
-361048791, 272829 82147 102349 243750 223553, 31 13 4 40 46, 1 44 45 16 11 15 36 18, 2, 0
-361048791, 272829 82147 102349 243750 223553, 31 13 4 40 46 2, 1 44 45 16 11 15 36 18, 3, 1
-361048791, 272829 10233649 11243750 82147 223553, 31 13 4 40 46 2, 1 44 45 16 15 18, 4, 0
-361048791, 272829 10233649 11243750 82147 223553, 31 13 4 40 46 2 26, 1 44 45 16 15 18, 5, 1
-361048791, 272829 10233649 11243750 82147 223553, 31 13 4 40 46 2 26, 1 44 45 16 15 18 30, 6, 0
-361048791, 272829 10233649 11243750 82147 223553, 31 13 4 40 46 2 26 12, 1 44 45 16 15 18 30, 7, 1
-361048791, 27282930 10233649 11243750 82147 223553, 31 13 4 40 46 2 26 12, 1 44 45 16 15 18, 8, 0
-361048791, 222324 353637 10111213 2728293031 82147 495051, 4 40 46 2 26, 1 44 45 16 15 18, 9, 1
-361048791, 222324 353637 495051 10111213 27282930 183144 82147, 4 40 46 2 26, 1 45 16 15, 10, 0
-361048791, 222324 353637 495051 10111213 27282930 183144 82147, 4 40 46 2 26 42, 1 45 16 15, 11, 1
-361048791, 222324 353637 495051 10111213 27282930 183144 82147, 4 40 46 2 26 42, 1 45 16 15 48, 12, 0
-361048791, 222324 353637 495051 10111213 27282930 183144 82147, 4 40 46 2 26 42 17, 1 45 16 15 48, 13, 1
-361048791, 222324 353637 10111213 27282930 48495051 183144 82147, 4 40 46 2 26 42 17, 1 45 16 15, 14, 0
-361048791, 222324 272829 353637 10111213 48495051 41730 183144 82147, 40 46 2 26 42, 1 45 16 15, 15, 1
-361048791, 222324 272829 353637 10111213 48495051 41730 183144 82147, 40 46 2 26 42, 1 45 16 15 32, 16, 0
-361048791, 222324 272829 353637 10111213 48495051 41730 183144 82147, 40 46 2 26 42 5, 1 45 16 15 32, 17, 1
-361048791, 222324 272829 353637 10111213 48495051 41730 183144 82147, 40 46 2 26 42 5, 1 45 16 15 32 7, 18, 0
-361048791, 222324 272829 353637 10111213 48495051 5183144 41730 82147, 40 46 2 26 42, 1 45 16 15 32 7, 19, 1
-361048791, 222324 272829 353637 10111213 48495051 5183144 41730 82147, 40 46 2 26 42, 1 45 16 15 32 7 33, 20, 0
-361048791, 222324 272829 353637 10111213 48495051 5183144 41730 82147, 40 46 2 26 42 43, 1 45 16 15 32 7 33, 21, 1
-361048791, 222324 272829 313233 353637 10111213 48495051 41730 51844 82147, 40 46 2 26 42 43, 1 45 16 15 7, 22, 0
-361048791, 222324 272829 353637 10111213 30313233 48495051 41743 51844 82147, 40 46 2 26 42, 1 45 16 15 7, 23, 1
-361048791, 151617 222324 272829 313233 353637 10111213 48495051 43043 51844 82147, 40 46 2 26 42, 1 45 7, 24, 0
-361048791, 151617 222324 272829 313233 353637 10111213 48495051 43043 51844 82147, 40 46 2 26 42 3, 1 45 7, 25, 1
-361048791, 151617 222324 272829 313233 353637 10111213 48495051 43043 51844 82147, 40 46 2 26 42 3, 1 45 7 41, 26, 0
-361048791, 222324 313233 353637 424344 2345 10111213 15161718 27282930 48495051 82147, 40 46 26, 1 45 7 41, 27, 1
-361048791, 222324 313233 353637 10111213 15161718 27282930 48495051 12345 4142434445 82147, 40 46 26, 7, 28, 0
-361048791, 345 161718 222324 353637 414243 444546 10111213 48495051 2930313233 12740 21528 82147, 26, 7, 29, 1
-361048791, 345 161718 222324 353637 10111213 29303132 48495051 4142434445 12740 21528 73346 82147, 26, , 30, 0
