GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-195345088, , 24 47 19 10 43 4 14 11 30 41 45 22 25 23, 49 8 46 29 35 26 28 6 39 31 3 13 9 42, 0, 0
-195345088, 22 23 24 25 ;4 30 43 , 47 19 10 14 11 41 45, 49 8 46 29 35 26 28 6 39 31 3 13 9 42, 1, 1
-195345088, 3 29 42 ;13 26 39 ;22 23 24 25 ;4 30 43 , 47 19 10 14 11 41 45, 49 8 46 35 28 6 31 9, 2, 0
-195345088, 22 23 24 25 ;3 29 42 ;4 30 43 ;13 26 39 , 47 19 10 14 11 41 45 1, 49 8 46 35 28 6 31 9, 3, 1
-195345088, 23 24 25 ;3 29 42 ;4 30 43 ;9 22 35 ;13 26 39 , 47 19 10 14 11 41 45 1, 49 8 46 28 6 31, 4, 0
-195345088, 23 24 25 ;3 29 42 ;4 30 43 ;9 22 35 ;13 26 39 , 47 19 10 14 11 41 45 1 51, 49 8 46 28 6 31, 5, 1
-195345088, 23 24 25 ;3 29 42 ;4 30 43 ;9 22 35 ;13 26 39 , 47 19 10 14 11 41 45 1 51, 49 8 46 28 6 31 53, 6, 0
-195345088, 23 24 25 ;3 29 42 ;4 30 43 ;9 22 35 ;13 26 39 , 47 19 10 14 11 41 45 1 51 5, 49 8 46 28 6 31 53, 7, 1
-195345088, 23 24 25 ;3 29 42 ;4 30 43 ;9 22 35 ;13 26 39 ;6 7 8 , 47 19 10 14 11 41 45 1 51 5, 49 46 28 31, 8, 0
-195345088, 23 24 25 ;5 6 7 8 ;3 29 42 ;4 30 43 ;9 22 35 ;13 26 39 , 47 19 10 14 11 41 45 1 51, 49 46 28 31, 9, 1
-195345088, 23 24 25 ;5 6 7 8 ;3 29 42 ;4 30 43 ;9 22 35 ;13 26 39 , 47 19 10 14 11 41 45 1 51, 49 46 28 31 17, 10, 0
-195345088, 23 24 25 ;5 6 7 8 ;3 29 42 ;4 30 43 ;9 22 35 ;13 26 39 , 47 19 10 14 11 41 45 1 51 32, 49 46 28 31 17, 11, 1
-195345088, 23 24 25 ;4 5 6 7 8 ;3 29 42 ;17 30 43 ;9 22 35 ;13 26 39 , 47 19 10 14 11 41 45 1 51 32, 49 46 28 31, 12, 0
-195345088, 23 24 25 ;4 5 6 7 8 ;3 29 42 ;17 30 43 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 14 11 41 1 51, 49 46 28 31, 13, 1
-195345088, 23 24 25 ;4 5 6 7 8 ;3 29 42 ;17 30 43 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 14 11 41 1 51, 49 46 28 31 12, 14, 0
-195345088, 23 24 25 ;4 5 6 7 8 ;3 29 42 ;17 30 43 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 14 11 41 1 51 40, 49 46 28 31 12, 15, 1
-195345088, 23 24 25 ;4 5 6 7 8 ;3 29 42 ;17 30 43 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 14 11 41 1 51 40, 49 46 28 31 12 33, 16, 0
-195345088, 23 24 25 ;4 5 6 7 8 ;1 14 40 ;3 29 42 ;17 30 43 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 11 41 51, 49 46 28 31 12 33, 17, 1
-195345088, 23 24 25 ;4 5 6 7 8 ;1 14 40 ;3 29 42 ;17 30 43 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 11 41 51, 49 46 28 31 12 33 18, 18, 0
-195345088, 23 24 25 ;4 5 6 7 8 ;1 14 40 ;3 29 42 ;17 30 43 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 11 41 51 21, 49 46 28 31 12 33 18, 19, 1
-195345088, 6 7 8 ;23 24 25 ;4 17 30 43 ;1 14 40 ;3 29 42 ;5 18 31 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 11 41 51 21, 49 46 28 12 33, 20, 0
-195345088, 6 7 8 ;23 24 25 ;4 17 30 43 ;1 14 40 ;3 29 42 ;5 18 31 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 11 41 51 21 20, 49 46 28 12 33, 21, 1
-195345088, 6 7 8 ;23 24 25 ;4 17 30 43 ;1 14 40 ;3 29 42 ;5 18 31 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 11 41 51 21 20, 49 46 28 12 33 16, 22, 0
-195345088, 6 7 8 ;23 24 25 ;4 17 30 43 ;1 14 40 ;3 29 42 ;5 18 31 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 11 41 51 21 20 37, 49 46 28 12 33 16, 23, 1
-195345088, 6 7 8 ;23 24 25 ;28 29 30 ;1 14 40 ;3 16 42 ;4 17 43 ;5 18 31 ;19 32 45 ;9 22 35 ;13 26 39 , 47 10 11 41 51 21 20 37, 49 46 12 33, 24, 0
-195345088, 16 17 18 ;23 24 25 ;41 42 43 ;28 29 30 31 ;3 4 5 6 7 ;1 14 40 ;19 32 45 ;8 21 47 ;9 22 35 ;13 26 39 , 10 11 51 20 37, 49 46 12 33, 25, 1
-195345088, 3 4 5 ;16 17 18 ;23 24 25 ;41 42 43 ;28 29 30 31 32 ;1 14 40 ;6 19 45 ;7 33 46 ;8 21 47 ;9 22 35 ;13 26 39 , 10 11 51 20 37, 49 12, 26, 0
-195345088, 3 4 5 ;16 17 18 ;23 24 25 ;28 29 30 ;31 32 33 ;41 42 43 ;1 14 40 ;6 19 45 ;7 20 46 ;8 21 47 ;9 22 35 ;13 26 39 , 10 11 51 37, 49 12, 27, 1
-195345088, 3 4 5 ;16 17 18 ;23 24 25 ;28 29 30 ;31 32 33 ;41 42 43 ;1 14 40 ;6 19 45 ;7 20 46 ;8 21 47 ;9 22 35 ;13 26 39 , 10 11 51 37, 49 12 48, 28, 0
-195345088, 3 4 5 ;16 17 18 ;23 24 25 ;28 29 30 ;31 32 33 ;41 42 43 ;1 14 40 ;6 19 45 ;7 20 46 ;8 21 47 ;9 22 35 ;13 26 39 , 10 11 51 37 36, 49 12 48, 29, 1
-195345088, 3 4 5 ;6 7 8 ;16 17 18 ;19 20 21 ;23 24 25 ;28 29 30 ;31 32 33 ;41 42 43 ;45 46 47 48 49 ;1 14 40 ;9 22 35 ;13 26 39 , 10 11 51 37 36, 12, 30, 0
-195345088, 3 4 5 ;6 7 8 ;9 10 11 ;16 17 18 ;23 24 25 ;28 29 30 ;31 32 33 ;35 36 37 ;41 42 43 ;19 20 21 22 ;45 46 47 48 49 ;1 14 40 ;13 26 39 , 51, 12, 31, 1
-195345088, 3 4 5 ;6 7 8 ;16 17 18 ;23 24 25 ;28 29 30 ;31 32 33 ;35 36 37 ;41 42 43 ;9 10 11 12 ;19 20 21 22 ;45 46 47 48 49 ;1 14 40 ;13 26 39 , 51, , 32, 0
