GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-1299444646, , 14 53 48 43 21 37 30 51 19 22 17 28 50 29, 3 20 5 13 10 35 16 33 40 7 36 12 23 4, 0, 0
-1299444646, 28 29 30 ;48 49 50 51 , 14 43 21 37 19 22 17, 3 20 5 13 10 35 16 33 40 7 36 12 23 4, 1, 1
-1299444646, 3 4 5 ;7 20 33 ;10 23 36 ;28 29 30 ;48 49 50 51 , 14 43 21 37 19 22 17, 13 35 16 40 12, 2, 0
-1299444646, 3 4 5 ;28 29 30 ;48 49 50 51 ;7 20 33 ;10 23 36 , 14 43 21 37 19 22 17 18, 13 35 16 40 12, 3, 1
-1299444646, 3 4 5 ;28 29 30 ;48 49 50 51 ;7 20 33 ;10 23 36 , 14 43 21 37 19 22 17 18, 13 35 16 40 12 49, 4, 0
-1299444646, 3 4 5 ;17 18 19 ;28 29 30 ;48 49 50 51 ;7 20 33 ;10 23 36 , 14 43 21 37 22, 13 35 16 40 12 49, 5, 1
-1299444646, 3 4 5 ;28 29 30 ;16 17 18 19 ;48 49 50 51 ;7 20 33 ;10 23 36 , 14 43 21 37 22, 13 35 40 12 49, 6, 0
-1299444646, 3 4 5 ;28 29 30 ;16 17 18 19 ;48 49 50 51 ;7 20 33 ;10 23 36 , 14 43 21 37 22 47, 13 35 40 12 49, 7, 1
-1299444646, 3 4 5 ;28 29 30 ;16 17 18 19 ;48 49 50 51 ;7 20 33 ;10 23 36 , 14 43 21 37 22 47, 13 35 40 12 49 8, 8, 0
-1299444646, 3 4 5 ;28 29 30 ;16 17 18 19 ;47 48 49 50 51 ;7 20 33 ;10 23 36 , 14 43 21 37 22, 13 35 40 12 49 8, 9, 1
-1299444646, 3 4 5 ;28 29 30 ;16 17 18 19 ;47 48 49 50 51 ;7 20 33 ;10 23 36 , 14 43 21 37 22, 13 35 40 12 49 8 34, 10, 0
-1299444646, 3 4 5 ;28 29 30 ;16 17 18 19 ;47 48 49 50 51 ;7 20 33 ;10 23 36 , 14 43 21 37 22 31, 13 35 40 12 49 8 34, 11, 1
-1299444646, 3 4 5 ;28 29 30 ;16 17 18 19 ;48 49 50 51 ;7 20 33 ;8 34 47 ;10 23 36 , 14 43 21 37 22 31, 13 35 40 12 49, 12, 0
