GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-715360763, , 33 27 4 22 3 30 1 41 24 47 13 52 35 43, 14 40 11 5 17 28 38 48 34 36 15 7 45 9, 0, 0
-715360763, , 33 27 4 22 3 30 1 41 24 47 13 52 35 43 50, 14 40 11 5 17 28 38 48 34 36 15 7 45 9, 1, 1
-715360763, , 33 27 4 22 3 30 1 41 24 47 13 52 35 43 50, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42, 2, 0
-715360763, , 33 27 4 22 3 30 1 41 24 47 13 52 35 43 50 32, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42, 3, 1
-715360763, , 33 27 4 22 3 30 1 41 24 47 13 52 35 43 50 32, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42 29, 4, 0
-715360763, , 33 27 4 22 3 30 1 41 24 47 13 52 35 43 50 32 31, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42 29, 5, 1
-715360763, , 33 27 4 22 3 30 1 41 24 47 13 52 35 43 50 32 31, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42 29 6, 6, 0
-715360763, 31 32 33 ;4 30 43 , 27 22 3 1 41 24 47 13 52 35 50, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42 29 6, 7, 1
-715360763, 31 32 33 ;4 30 43 , 27 22 3 1 41 24 47 13 52 35 50, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42 29 6 51, 8, 0
-715360763, 31 32 33 ;4 30 43 , 27 22 3 1 41 24 47 13 52 35 50 20, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42 29 6 51, 9, 1
-715360763, 31 32 33 ;4 30 43 , 27 22 3 1 41 24 47 13 52 35 50 20, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42 29 6 51 10, 10, 0
-715360763, 31 32 33 ;4 30 43 , 27 22 3 1 41 24 47 13 52 35 50 20 18, 14 40 11 5 17 28 38 48 34 36 15 7 45 9 42 29 6 51 10, 11, 1
-715360763, 5 6 7 ;9 10 11 ;31 32 33 ;4 30 43 , 27 22 3 1 41 24 47 13 52 35 50 20 18, 14 40 17 28 38 48 34 36 15 45 42 29 51, 12, 0
-715360763, 5 6 7 ;9 10 11 ;31 32 33 ;4 30 43 , 27 22 3 1 41 24 47 13 52 35 50 20 18 26, 14 40 17 28 38 48 34 36 15 45 42 29 51, 13, 1
-715360763, 5 6 7 ;9 10 11 ;32 33 34 ;28 29 30 31 ;4 17 43 , 27 22 3 1 41 24 47 13 52 35 50 20 18 26, 14 40 38 48 36 15 45 42 51, 14, 0
-715360763, 9 10 11 ;27 28 29 ;3 4 5 6 7 ;31 32 33 34 35 ;17 30 43 ;13 26 52 , 22 1 41 24 47 50 20 18, 14 40 38 48 36 15 45 42 51, 15, 1
-715360763, 9 10 11 ;27 28 29 ;31 32 33 ;34 35 36 ;3 4 5 6 7 ;17 30 43 ;13 26 52 , 22 1 41 24 47 50 20 18, 14 40 38 48 15 45 42 51, 16, 0
-715360763, 9 10 11 ;27 28 29 ;31 32 33 ;34 35 36 ;3 4 5 6 7 ;17 30 43 ;13 26 52 , 22 1 41 24 47 50 20 18 23, 14 40 38 48 15 45 42 51, 17, 1
-715360763, 9 10 11 ;27 28 29 ;31 32 33 ;34 35 36 ;3 4 5 6 7 ;17 30 43 ;13 26 52 , 22 1 41 24 47 50 20 18 23, 14 40 38 48 15 45 42 51 49, 18, 0
-715360763, 27 28 29 ;31 32 33 34 ;3 4 5 6 7 ;17 30 43 ;9 22 35 ;10 23 36 ;11 24 50 ;13 26 52 , 1 41 47 20 18, 14 40 38 48 15 45 42 51 49, 19, 1
-715360763, 9 10 11 ;22 23 24 ;27 28 29 ;31 32 33 ;34 35 36 ;48 49 50 51 ;3 4 5 6 7 ;17 30 43 ;13 26 52 , 1 41 47 20 18, 14 40 38 15 45 42, 20, 0
-715360763, 9 10 11 ;22 23 24 ;27 28 29 ;31 32 33 ;34 35 36 ;3 4 5 6 7 ;47 48 49 50 51 ;17 30 43 ;13 26 52 , 1 41 20 18, 14 40 38 15 45 42, 21, 1
-715360763, 9 10 11 ;22 23 24 ;27 28 29 ;31 32 33 ;34 35 36 ;3 4 5 6 7 ;47 48 49 50 51 ;17 30 43 ;13 26 52 , 1 41 20 18, 14 40 38 15 45 42 46, 22, 0
-715360763, 9 10 11 ;22 23 24 ;27 28 29 ;31 32 33 ;34 35 36 ;3 4 5 6 7 ;47 48 49 50 51 ;17 30 43 ;13 26 52 , 1 41 20 18 8, 14 40 38 15 45 42 46, 23, 1
-715360763, 9 10 11 ;22 23 24 ;27 28 29 ;31 32 33 ;34 35 36 ;49 50 51 ;45 46 47 48 ;3 4 5 6 7 ;17 30 43 ;13 26 52 , 1 41 20 18 8, 14 40 38 15 42, 24, 0
-715360763, 3 4 5 ;6 7 8 ;9 10 11 ;22 23 24 ;27 28 29 ;31 32 33 ;34 35 36 ;49 50 51 ;45 46 47 48 ;17 30 43 ;13 26 52 , 1 41 20 18, 14 40 38 15 42, 25, 1
-715360763, 3 4 5 ;6 7 8 ;9 10 11 ;22 23 24 ;27 28 29 ;31 32 33 ;34 35 36 ;49 50 51 ;45 46 47 48 ;17 30 43 ;13 26 52 , 1 41 20 18, 14 40 38 15 42 19, 26, 0
