GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48, 19 24 41 15 8 16 44 42 32 36 21 13 22 29, 0, 0
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14, 19 24 41 15 8 16 44 42 32 36 21 13 22 29, 1, 1
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27, 2, 0
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27, 3, 1
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27 39, 4, 0
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27 39, 5, 1
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27 39 35, 6, 0
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27 39 35, 7, 1
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27 39 35 2, 8, 0
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27 39 35 2, 9, 1
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27 39 35 2 26, 10, 0
-266357138, , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33, 19 24 41 15 8 16 44 42 32 36 21 13 22 29 27 39 35 2 26, 11, 1
-266357138, 2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33, 19 24 8 44 32 36 21 22 27 35, 12, 0
-266357138, 2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37, 19 24 8 44 32 36 21 22 27 35, 13, 1
-266357138, 2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37, 19 24 8 44 32 36 21 22 27 35 1, 14, 0
-266357138, 2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45, 19 24 8 44 32 36 21 22 27 35 1, 15, 1
-266357138, 2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45, 19 24 8 44 32 36 21 22 27 35 1 7, 16, 0
-266357138, 2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51, 19 24 8 44 32 36 21 22 27 35 1 7, 17, 1
-266357138, 2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51, 19 24 8 44 32 36 21 22 27 35 1 7 40, 18, 0
-266357138, 2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51 38, 19 24 8 44 32 36 21 22 27 35 1 7 40, 19, 1
-266357138, 1 27 40 ;2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51 38, 19 24 8 44 32 36 21 22 35 7, 20, 0
-266357138, 1 27 40 ;2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51 38 11, 19 24 8 44 32 36 21 22 35 7, 21, 1
-266357138, 1 27 40 ;2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51 38 11, 19 24 8 44 32 36 21 22 35 7 20, 22, 0
-266357138, 1 27 40 ;2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51 38 11 9, 19 24 8 44 32 36 21 22 35 7 20, 23, 1
-266357138, 19 20 21 22 ;1 27 40 ;2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51 38 11 9, 24 8 44 32 36 35 7, 24, 0
-266357138, 19 20 21 22 ;1 27 40 ;2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51 38 11 9 47, 24 8 44 32 36 35 7, 25, 1
-266357138, 19 20 21 22 ;1 27 40 ;2 15 41 ;16 29 42 ;13 26 39 , 28 53 6 30 12 18 25 5 50 17 49 10 23 48 14 4 43 3 52 33 37 45 51 38 11 9 47, 24 8 44 32 36 35 7 34, 26, 0
