GameId, Board, PlayersHands, MoveNumber, CurrentPlayer-937136906,com.gameEngine.Board@79fc0f2f,;,0,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|13 red|12 red|4 red|5 black|9 black|13 black|3 blue|3 blue|8 blue|2;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|13 red|12 red|4 red|5 black|9 black|13 black|3 blue|3 blue|8 blue|2 red|11;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|13 red|12 red|4 red|5 black|9 black|13 black|3 blue|3 blue|8 blue|2 red|11;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9 yellow|1,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|13 red|12 red|4 red|5 black|9 black|13 black|3 blue|3 blue|8 blue|2 red|11 red|4;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9 yellow|1,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|13 red|12 red|4 red|5 black|9 black|13 black|3 blue|3 blue|8 blue|2 red|11 red|4;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9 yellow|1 yellow|7,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|13 red|12 red|4 red|5 black|9 black|13 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9 yellow|1 yellow|7,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|13 red|12 red|4 red|5 black|9 black|13 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9 yellow|1 yellow|7 blue|1,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|13 red|12 red|4 red|5 black|9 black|13 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11 yellow|13;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9 yellow|1 yellow|7 blue|1,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|13 red|12 red|4 red|5 black|9 black|13 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11 yellow|13;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9 yellow|1 yellow|7 blue|1 blue|10,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|12 red|4 red|5 black|9 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11 yellow|5;yellow|1 yellow|9 blue|11 blue|9 blue|13 yellow|10 black|10 blue|3 blue|13 black|9 yellow|1 yellow|7 blue|1 blue|10,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|12 red|4 red|5 black|9 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11 yellow|5;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|12 red|4 red|5 black|9 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11 yellow|5 black|2;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|12 red|4 red|5 black|9 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11 yellow|5 black|2;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8,1,1
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|12 red|4 red|5 black|9 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11 yellow|5 black|2 yellow|3;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8,1,0
-937136906,com.gameEngine.Board@79fc0f2f,red|2 yellow|5 yellow|8 red|12 red|4 red|5 black|9 black|3 blue|3 blue|8 blue|2 red|11 red|4 black|11 yellow|5 black|2 yellow|3;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8 blue|4,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8 blue|4,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8 blue|4 red|6,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5 red|9;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8 blue|4 red|6,1,0
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5 red|9;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8 blue|4 red|6 black|4,1,1
-937136906,com.gameEngine.Board@79fc0f2f,yellow|5 yellow|8 red|12 red|4 red|5 black|9 blue|8 red|11 red|4 black|11 yellow|5 black|1 red|2 blue|5 red|9 yellow|8;yellow|1 blue|11 blue|13 blue|3 blue|13 yellow|1 yellow|7 blue|1 black|12 red|8 blue|12 blue|8 blue|4 red|6 black|4,1,0
