GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
75409288, , 1 37 47 25 28 32 51 44 43 26 50 31 41 18, 48 36 23 34 15 8 4 2 27 6 22 5 10 16, 0, 0
75409288, , 1 37 47 25 28 32 51 44 43 26 50 31 41 18 21, 48 36 23 34 15 8 4 2 27 6 22 5 10 16, 1, 1
75409288, 456 102336, 1 37 47 25 28 32 51 44 43 26 50 31 41 18 21, 48 34 15 8 2 27 22 16, 2, 0
75409288, 456 102336, 1 37 47 25 28 32 51 44 43 26 50 31 41 18 21 30, 48 34 15 8 2 27 22 16, 3, 1
75409288, 456 102336, 1 37 47 25 28 32 51 44 43 26 50 31 41 18 21 30, 48 34 15 8 2 27 22 16 24, 4, 0
75409288, 456 102336, 1 37 47 25 28 32 51 44 43 26 50 31 41 18 21 30 38, 48 34 15 8 2 27 22 16 24, 5, 1
75409288, 456 102336, 1 37 47 25 28 32 51 44 43 26 50 31 41 18 21 30 38, 48 34 15 8 2 27 22 16 24 11, 6, 0
75409288, 183144 253851 456 102336, 1 37 47 28 32 43 26 50 41 21 30, 48 34 15 8 2 27 22 16 24 11, 7, 1
75409288, 456 183144 102336 253851, 1 37 47 28 32 43 26 50 41 21 30, 48 34 15 8 2 27 22 16 24 11 17, 8, 0
75409288, 456 183144 102336 253851, 1 37 47 28 32 43 26 50 41 21 30 42, 48 34 15 8 2 27 22 16 24 11 17, 9, 1
75409288, 456 151617 183144 102336 253851, 1 37 47 28 32 43 26 50 41 21 30 42, 48 34 8 2 27 22 24 11, 10, 0
75409288, 456 161718 303132 424344 152841 102336 253851, 1 37 47 26 50 21, 48 34 8 2 27 22 24 11, 11, 1
75409288, 456 161718 303132 41424344 21528 102336 253851, 1 37 47 26 50 21, 48 34 8 27 22 24 11, 12, 0
75409288, 456 161718 303132 41424344 21528 102336 253851, 1 37 47 26 50 21 14, 48 34 8 27 22 24 11, 13, 1
75409288, 456 161718 303132 41424344 21528 102336 253851, 1 37 47 26 50 21 14, 48 34 8 27 22 24 11 39, 14, 0
75409288, 456 303132 424344 1415161718 22841 102336 253851, 1 37 47 26 50 21, 48 34 8 27 22 24 11 39, 15, 1
75409288, 456 303132 424344 1415161718 22841 102336 253851, 1 37 47 26 50 21, 48 34 8 27 22 24 11 39 9, 16, 0
75409288, 456 303132 424344 1415161718 22841 102336 253851, 1 37 47 26 50 21 49, 48 34 8 27 22 24 11 39 9, 17, 1
75409288, 456 303132 424344 1415161718 22841 92248 102336 253851, 1 37 47 26 50 21 49, 34 8 27 24 11 39, 18, 0
75409288, 456 303132 424344 1415161718 10233649 22841 92248 253851, 1 37 47 26 50 21, 34 8 27 24 11 39, 19, 1
75409288, 456 303132 424344 1415161718 10233649 22841 92248 253851, 1 37 47 26 50 21, 34 8 27 24 11 39 12, 20, 0
75409288, 456 303132 424344 1415161718 10233649 22841 92248 253851, 1 37 47 26 50 21 45, 34 8 27 24 11 39 12, 21, 1
75409288, 456 232425 303132 424344 1415161718 22841 92248 103649 123851, 1 37 47 26 50 21 45, 34 8 27 11 39, 22, 0
75409288, 141516 424344 10233649 12253851 22841 41730 51831 63245 92248 243750, 1 47 26 21, 34 8 27 11 39, 23, 1
75409288, 456 303132 22232425 36373839 42434445 48495051 89101112 1415161718 22841, 1 47 26 21, 34 27, 24, 0
75409288, 456 212223 242526 303132 36373839 42434445 89101112 1415161718 4748495051 22841, 1, 34 27, 25, 1
75409288, 456 212223 242526 303132 9101112 36373839 42434445 48495051 1415161718 22841 83447, 1, 27, 26, 0
75409288, 456 212223 242526 303132 9101112 36373839 42434445 48495051 1415161718 22841 83447, 1 40, 27, 27, 1
75409288, 456 212223 242526 303132 9101112 36373839 42434445 48495051 1415161718 22841 83447, 1 40, 27 13, 28, 0
75409288, 456 101112 161718 303132 495051 23242526 36373839 4142434445 8213447 11440 21528 92248, , 27 13, 29, 1
