GameId, Board, HandOne, HandTwo, MoveNumber, CurrentPlayer
-1259494946, , 1 16 28 46 6 35 33 4 14 9 11 37 34 23, 47 53 26 15 21 30 27 43 31 48 51 42 2 13, 0, 0
-1259494946, , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45, 47 53 26 15 21 30 27 43 31 48 51 42 2 13, 1, 1
-1259494946, , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45, 47 53 26 15 21 30 27 43 31 48 51 42 2 13 3, 2, 0
-1259494946, , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7, 47 53 26 15 21 30 27 43 31 48 51 42 2 13 3, 3, 1
-1259494946, , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7, 47 53 26 15 21 30 27 43 31 48 51 42 2 13 3 22, 4, 0
-1259494946, , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40, 47 53 26 15 21 30 27 43 31 48 51 42 2 13 3 22, 5, 1
-1259494946, , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40, 47 53 26 15 21 30 27 43 31 48 51 42 2 13 3 22 8, 6, 0
-1259494946, , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17, 47 53 26 15 21 30 27 43 31 48 51 42 2 13 3 22 8, 7, 1
-1259494946, 8 21 47 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17, 26 15 27 43 48 51 42 2 13 3 22, 8, 0
-1259494946, 8 21 47 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24, 26 15 27 43 48 51 42 2 13 3 22, 9, 1
-1259494946, 8 21 47 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24, 26 15 27 43 48 51 42 2 13 3 22 39, 10, 0
-1259494946, 8 21 47 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24 36, 26 15 27 43 48 51 42 2 13 3 22 39, 11, 1
-1259494946, 8 21 47 ;13 26 39 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24 36, 15 27 43 48 51 42 2 3 22, 12, 0
-1259494946, 8 21 47 ;13 26 39 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24 36 32, 15 27 43 48 51 42 2 3 22, 13, 1
-1259494946, 8 21 47 ;13 26 39 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24 36 32, 15 27 43 48 51 42 2 3 22 38, 14, 0
-1259494946, 8 21 47 ;13 26 39 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24 36 32 18, 15 27 43 48 51 42 2 3 22 38, 15, 1
-1259494946, 8 21 47 ;13 26 39 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24 36 32 18, 15 27 43 48 51 42 2 3 22 38 25, 16, 0
-1259494946, 8 21 47 ;13 26 39 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24 36 32 18 5, 15 27 43 48 51 42 2 3 22 38 25, 17, 1
-1259494946, 8 21 47 ;25 38 51 ;13 26 39 ;30 31 53 , 1 16 28 46 6 35 33 4 14 9 11 37 34 23 45 7 40 17 24 36 32 18 5, 15 27 43 48 42 2 3 22, 18, 0
